Rank,Drug Name,Total Prescriptions (2022),Total Patients (2022),Annual Change
1,Atorvastatin,"109,582,746","27,935,702",0
2,Metformin,"86,747,907","19,536,027",0
3,Lisinopril,"82,513,967","20,314,304",1
4,Levothyroxine,"82,431,914","18,130,331",1
5,Amlodipine,"70,766,211","17,789,649",0
6,Metoprolol,"65,245,216","15,542,999",0
7,Albuterol,"59,075,269","19,265,334",0
8,Losartan,"53,555,510","13,150,031",0
9,Omeprazole,"52,132,950","13,802,111",0
10,Gabapentin,"40,141,486","9,889,546",0
11,Sertraline,"39,891,990","8,422,729",0
12,Hydrochlorothiazide,"38,153,288","9,758,721",0
13,Rosuvastatin,"37,095,971","9,721,324",0
14,Dextroamphetamine; Dextroamphetamine Saccharate; Amphetamine; Amphetamine Aspartate,"34,690,297","4,652,545",3
15,Escitalopram,"30,750,612","7,493,104",0
16,Pantoprazole,"30,670,528","7,979,792",3
17,Montelukast,"29,187,952","6,825,788",3
18,Trazodone,"27,363,318","5,759,352",4
19,Simvastatin,"26,459,069","6,986,630",3
20,Tamsulosin,"25,306,357","6,758,617",4
21,Bupropion,"25,197,923","6,111,736",3
22,Fluoxetine,"24,014,263","5,174,534",3
23,Acetaminophen; Hydrocodone,"23,521,228","7,972,417",3
24,Furosemide,"23,067,424","5,845,466",3
25,Fluticasone,"22,557,458","7,453,010",2
26,Amoxicillin,"20,465,164","15,998,871",12
27,Apixaban,"19,420,949","4,494,660",6
28,Insulin Glargine,"18,983,905","3,808,867",1
29,Meloxicam,"18,859,721","6,284,853",3
30,Prednisone,"18,201,857","8,722,579",2
31,Duloxetine,"18,066,468","4,042,916",4
32,Methylphenidate,"17,705,265","2,586,485",11
33,Ibuprofen,"17,493,911","9,340,903",3
34,Carvedilol,"17,067,595","4,472,118",8
35,Potassium Chloride,"16,993,841","4,513,952",5
36,Aspirin,"16,981,811","5,095,974",2
37,Pravastatin,"16,317,126","3,949,800",2
38,Ergocalciferol,"15,914,322","4,987,258",3
39,Allopurinol,"15,235,132","3,867,218",1
40,Citalopram,"15,047,663","3,540,540",9
41,Alprazolam,"14,988,526","3,336,114",1
42,Glipizide,"14,521,604","3,697,042",6
43,Cetirizine,"13,899,342","4,436,602",6
44,Venlafaxine,"13,881,022","2,844,672",0
45,Cyclobenzaprine,"13,724,245","5,016,775",0
46,Hydroxyzine,"13,652,751","3,675,422",12
47,Clopidogrel,"13,568,821","3,767,583",10
48,Semaglutide,"13,523,981","3,281,179",42
49,Famotidine,"13,156,330","4,182,077",8
50,Estradiol,"12,622,775","3,300,902",10
51,Diclofenac,"12,480,262","4,295,892",10
52,Spironolactone,"12,450,600","3,229,839",2
53,Hydrochlorothiazide; Lisinopril,"12,335,355","2,917,147",2
54,Buspirone,"12,332,589","2,671,839",1
55,Tramadol,"12,203,197","4,050,454",14
56,Empagliflozin,"12,009,951","3,063,605",29
57,Clonazepam,"11,711,065","1,968,091",11
58,Lamotrigine,"11,704,668","1,880,284",8
59,Fluticasone; Salmeterol,"11,570,693","3,163,220",5
60,Oxycodone,"11,314,082","4,797,946",1
61,Ondansetron,"10,880,346","5,755,033",18
62,Cholecalciferol,"10,833,991","3,330,178",3
63,Atenolol,"10,675,235","2,625,632",16
64,Glimepiride,"10,407,351","2,285,854",10
65,Folic Acid,"10,185,562","2,602,156",12
66,Zolpidem,"9,972,232","1,983,061",3
67,Latanoprost,"9,971,002","2,723,057",1
68,Doxycycline,"9,833,973","5,787,510",14
69,Lisdexamfetamine,"9,791,955","1,529,700",0
70,Insulin Lispro,"9,647,313","2,183,803",15
71,Clonidine,"9,626,080","1,877,700",9
72,Loratadine,"9,230,347","2,593,104",5
73,Finasteride,"9,203,008","2,626,865",15
74,Dulaglutide,"8,968,874","2,001,700",4
75,Hydrochlorothiazide; Losartan,"8,825,878","2,442,356",12
76,Insulin Aspart,"8,813,259","1,733,883",5
77,Propranolol,"8,810,846","2,153,812",14
78,Azithromycin,"8,770,185","7,146,386",19
79,Ezetimibe,"8,656,499","2,228,797",13
80,Ethinyl Estradiol; Norethindrone,"8,582,372","2,406,285",28
81,Lorazepam,"8,502,480","2,170,621",3
82,Quetiapine,"8,443,014","1,585,405",20
83,Budesonide; Formoterol,"8,225,092","1,875,357",11
84,Topiramate,"8,210,654","1,983,577",18
85,Warfarin,"8,135,552","1,602,377",29
86,Sitagliptin,"7,947,929","1,739,317",3
87,Amitriptyline,"7,887,977","1,675,744",20
88,Fenofibrate,"7,816,415","1,955,538",7
89,Naproxen,"7,381,940","3,270,262",4
90,Rivaroxaban,"7,298,837","1,913,151",4
91,Pregabalin,"7,167,540","1,601,090",18
92,Paroxetine,"7,127,748","1,470,173",3
93,Celecoxib,"7,023,511","2,410,924",5
94,Tizanidine,"6,971,104","2,286,583",5
95,Sumatriptan,"6,899,199","2,105,101",14
96,Amoxicillin; Clavulanate,"6,874,603","5,534,480",19
97,Olmesartan,"6,554,547","1,703,089",29
98,Acetaminophen; Oxycodone,"6,531,255","2,280,831",23
99,Ethinyl Estradiol; Norgestimate,"6,339,863","1,867,085",23
100,Diltiazem,"6,257,580","1,785,422",16
101,Cephalexin,"6,228,250","4,570,468",5
102,Triamcinolone,"6,216,924","4,171,508",2
103,Alendronate,"6,127,862","1,912,735",9
104,Baclofen,"6,099,128","1,603,798",1
105,Mirtazapine,"6,069,480","1,310,009",19
106,Aripiprazole,"6,053,911","1,275,362",7
107,Ferrous Sulfate,"6,042,033","2,327,497",2
108,Chlorthalidone,"5,928,576","1,597,980",19
109,Dexmethylphenidate,"5,809,075","727,981",12
110,Oxybutynin,"5,781,797","1,749,942",8
111,Lovastatin,"5,745,441","1,419,808",11
112,Hydroxychloroquine,"5,566,988","1,214,358",4
113,Valacyclovir,"5,529,292","2,563,195",1
114,Acetaminophen,"5,512,120","2,703,476",1
115,Dapagliflozin,"5,503,867","1,372,807",72
116,Hydrochlorothiazide; Triamterene,"5,500,903","1,489,499",4
117,Valsartan,"5,450,866","1,714,202",3
118,Testosterone,"5,432,642","1,394,497",25
119,Isosorbide,"5,429,185","1,322,047",8
120,Pioglitazone,"5,389,600","1,162,718",9
121,Hydralazine,"5,298,188","1,544,740",15
122,Esomeprazole,"5,207,671","1,215,844",3
123,Levetiracetam,"5,202,579","1,182,326",22
124,Azelastine,"5,195,092","1,746,057",21
125,Progesterone,"5,153,382","1,095,601",42
126,Methocarbamol,"5,109,104","2,345,639",3
127,Insulin Detemir,"4,867,207","905,394",10
128,Ethinyl Estradiol; Levonorgestrel,"4,846,343","1,327,012",16
129,Meclizine,"4,776,929","1,493,854",7
130,Benzonatate,"4,735,583","3,264,685",28
131,Cyanocobalamin,"4,663,173","1,489,713",21
132,Methotrexate,"4,565,259","1,077,459",0
133,Metronidazole,"4,493,311","2,696,460",61
134,Acyclovir,"4,458,457","1,322,764",35
135,Norethindrone,"4,337,336","1,420,212",5
136,Prednisolone,"4,327,569","2,421,943",17
137,Thyroid,"4,312,524","823,819",18
138,Insulin Degludec,"4,306,212","903,028",8
139,Liraglutide,"4,271,706","789,348",27
140,Morphine,"4,101,413","799,046",16
141,Enalapril,"4,066,367","906,186",137
142,Drospirenone; Ethinyl Estradiol,"4,033,582","972,919",10
143,Sulfamethoxazole; Trimethoprim,"3,932,844","2,772,821",21
144,Fluticasone; Umeclidinium; Vilanterol,"3,919,607","827,181",29
145,Fluticasone; Vilanterol,"3,879,209","945,692",37
146,Donepezil,"3,855,535","1,015,233",15
147,Clindamycin,"3,855,100","2,369,863",29
148,Docusate,"3,801,797","1,558,611",15
149,Phentermine,"3,738,423","1,030,978",58
150,Memantine,"3,703,293","896,917",20
151,Nifedipine,"3,681,537","1,138,199",23
152,Levocetirizine,"3,646,727","973,836",38
153,Methylprednisolone,"3,595,226","2,813,645",15
154,Tiotropium,"3,585,223","916,849",20
155,Timolol,"3,536,135","860,252",8
156,Clobetasol,"3,528,926","1,930,537",6
157,Sildenafil,"3,459,590","1,127,720",0
158,Nitrofurantoin,"3,448,530","2,502,989",23
159,Benazepril,"3,424,799","993,316",12
160,Fluconazole,"3,398,872","2,006,839",5
161,Desogestrel; Ethinyl Estradiol,"3,308,281","957,396",24
162,Mupirocin,"3,302,563","2,396,124",41
163,Ropinirole,"3,241,699","781,835",21
164,Nirmatrelvir; Ritonavir,"3,240,848","2,965,795",0
165,Sacubitril; Valsartan,"3,183,215","727,811",24
166,Acetaminophen; Codeine,"3,179,641","1,402,706",10
167,Oxcarbazepine,"3,138,991","623,643",37
168,Cefdinir,"3,098,850","2,412,211",29
169,Diazepam,"3,093,210","1,011,956",20
170,Amlodipine; Benazepril,"3,083,302","839,349",20
171,Olanzapine,"3,028,056","443,521",7
172,Tadalafil,"3,024,680","709,112",1
173,Nebivolol,"3,006,294","724,281",71
174,Valproate,"2,969,360","553,891",19
175,Ketoconazole,"2,955,996","1,496,073",14
176,Dicyclomine,"2,924,051","1,008,828",28
177,Budesonide,"2,800,249","864,807",8
178,Albuterol; Ipratropium,"2,771,010","794,788",27
179,Anastrozole,"2,676,294","623,266",3
180,Doxazosin,"2,644,458","659,808",15
181,Ciprofloxacin,"2,622,220","1,994,293",40
182,Metformin; Sitagliptin,"2,611,967","597,745",28
183,Risperidone,"2,609,294","536,202",45
184,Torsemide,"2,524,293","631,189",4
185,Cyclosporine,"2,478,714","864,942",10
186,Dexlansoprazole,"2,454,438","674,083",0
187,Ramipril,"2,404,446","558,392",14
188,Verapamil,"2,384,033","642,398",8
189,Linaclotide,"2,378,887","534,890",57
190,Rizatriptan,"2,297,918","588,662",31
191,Nortriptyline,"2,256,836","647,355",52
192,Insulin Human; Insulin Isophane Human,"2,234,041","447,324",13
193,Pramipexole,"2,224,945","654,960",16
194,Ethinyl Estradiol; Etonogestrel,"2,217,838","604,521",4
195,Bimatoprost,"2,197,512","520,908",9
196,Nitroglycerin,"2,158,295","1,227,621",22
197,Colchicine,"2,153,766","923,806",13
198,Promethazine,"2,149,358","857,334",10
199,Brimonidine,"2,126,110","692,801",39
200,Irbesartan,"2,067,518","566,827",28
201,Dorzolamide,"2,039,520","501,702",1
202,Hydrocortisone,"2,010,948","1,412,526",10
203,Ticagrelor,"2,002,395","494,570",0
204,Liothyronine,"1,990,788","553,774",5
205,Oseltamivir,"1,965,319","1,742,833",0
206,Ofloxacin,"1,963,626","1,577,360",34
207,Magnesium Salts,"1,958,089","649,137",4
208,Desvenlafaxine,"1,947,177","467,816",30
209,Polyethylene Glycol 3350,"1,922,665","984,333",17
210,Solifenacin,"1,902,096","476,646",18
211,Umeclidinium; Vilanterol,"1,875,873","423,184",1
212,Lithium,"1,861,584","393,262",0
